"No.","Time","Source","Destination","Protocol","Length","Info"
"11604","82.299837682","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6647031 Ack=16687 Win=72192 Len=1420 TSval=561817727 TSecr=3833707075 [TCP segment of a reassembled PDU]"
"11606","82.300076598","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6648451 Ack=16687 Win=72192 Len=1420 TSval=561817727 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11607","82.301056133","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6649871 Ack=16687 Win=72192 Len=1420 TSval=561817727 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11609","82.301254439","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6651291 Ack=16687 Win=72192 Len=1420 TSval=561817728 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11610","82.301318848","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6652711 Ack=16687 Win=72192 Len=1420 TSval=561817728 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11612","82.301572600","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11613","82.301746938","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6655551 Ack=16687 Win=72192 Len=1420 TSval=561817729 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11615","82.301905824","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6656971 Ack=16687 Win=72192 Len=1420 TSval=561817729 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11616","82.302156034","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6658391 Ack=16687 Win=72192 Len=1420 TSval=561817729 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11618","82.302281298","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6659811 Ack=16687 Win=72192 Len=1420 TSval=561817730 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11619","82.302864443","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6661231 Ack=16687 Win=72192 Len=1420 TSval=561817730 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11621","82.303799933","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6662651 Ack=16687 Win=72192 Len=1420 TSval=561817731 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11622","82.304030855","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6664071 Ack=16687 Win=72192 Len=1420 TSval=561817731 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11624","82.304238826","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6665491 Ack=16687 Win=72192 Len=1420 TSval=561817732 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11625","82.304384732","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6666911 Ack=16687 Win=72192 Len=1420 TSval=561817732 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11627","82.304573722","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6668331 Ack=16687 Win=72192 Len=1420 TSval=561817732 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11628","82.305237539","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6669751 Ack=16687 Win=72192 Len=1420 TSval=561817732 TSecr=3833707086 [TCP segment of a reassembled PDU]"
