"No.","Time","Source","Destination","Protocol","Length","Info"
"5","1.021401471","172.217.0.78","192.168.0.113","TCP","66","443  >  50646 [ACK] Seq=1 Ack=312 Win=608 Len=0 TSval=2619602236 TSecr=2942976634"
"6","1.131555223","172.217.0.78","192.168.0.113","TLSv1.2","278","Application Data"
"7","1.132464010","172.217.0.78","192.168.0.113","TLSv1.2","129","Application Data"
"9","1.133484371","172.217.0.78","192.168.0.113","TLSv1.2","189","Application Data"
"10","1.134623757","172.217.0.78","192.168.0.113","TCP","189","[TCP Retransmission] 443  >  50646 [PSH, ACK] Seq=276 Ack=312 Win=608 Len=123 TSval=2619602378 TSecr=2942976634"
"14","1.406166781","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"16","1.407032636","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"18","1.407913192","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"20","1.410142677","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"22","1.411196675","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"26","1.411725017","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"28","1.412392645","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"32","1.412729279","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"34","1.413382208","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"36","1.415241777","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"38","1.415521730","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"40","1.417148551","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"42","1.417533235","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"44","1.420351337","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"46","1.420624065","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"48","1.421237565","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"50","1.421632991","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"52","1.422283197","172.217.0.78","192.168.0.113","TLSv1.2","1333","Application Data, Application Data"
"54","1.439077912","173.194.17.136","192.168.0.113","TCP","74","443  >  40254 [SYN, ACK] Seq=0 Ack=1 Win=28400 Len=0 MSS=1432 SACK_PERM=1 TSval=561736874 TSecr=3833626232 WS=256"
"56","1.439161028","173.194.17.136","192.168.0.113","TCP","74","443  >  40256 [SYN, ACK] Seq=0 Ack=1 Win=28400 Len=0 MSS=1432 SACK_PERM=1 TSval=561736874 TSecr=3833626232 WS=256"
"61","1.469290791","173.194.17.136","192.168.0.113","TCP","74","443  >  40258 [SYN, ACK] Seq=0 Ack=1 Win=28400 Len=0 MSS=1432 SACK_PERM=1 TSval=561736904 TSecr=3833626259 WS=256"
"63","1.469428114","173.194.17.136","192.168.0.113","TCP","66","443  >  40256 [ACK] Seq=1 Ack=210 Win=29696 Len=0 TSval=561736905 TSecr=3833626259"
"64","1.469580564","173.194.17.136","192.168.0.113","TCP","66","443  >  40254 [ACK] Seq=1 Ack=210 Win=29696 Len=0 TSval=561736905 TSecr=3833626259"
"66","1.470170175","173.194.17.136","192.168.0.113","TLSv1.2","1486","Server Hello"
"68","1.470515536","173.194.17.136","192.168.0.113","TCP","1486","443  >  40254 [ACK] Seq=1421 Ack=210 Win=29696 Len=1420 TSval=561736906 TSecr=3833626259 [TCP segment of a reassembled PDU]"
"70","1.471254157","173.194.17.136","192.168.0.113","TCP","1486","443  >  40254 [ACK] Seq=2841 Ack=210 Win=29696 Len=1420 TSval=561736906 TSecr=3833626259 [TCP segment of a reassembled PDU]"
"72","1.471363277","173.194.17.136","192.168.0.113","TLSv1.2","761","Certificate, Server Key Exchange, Server Hello Done"
"74","1.471668458","173.194.17.136","192.168.0.113","TLSv1.2","1486","Server Hello"
"76","1.472615595","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=1421 Ack=210 Win=29696 Len=1420 TSval=561736906 TSecr=3833626259 [TCP segment of a reassembled PDU]"
"78","1.473887016","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=2841 Ack=210 Win=29696 Len=1420 TSval=561736906 TSecr=3833626259 [TCP segment of a reassembled PDU]"
"80","1.474271192","173.194.17.136","192.168.0.113","TLSv1.2","761","Certificate, Server Key Exchange, Server Hello Done"
"88","1.491443586","173.194.17.136","192.168.0.113","TCP","66","443  >  40258 [ACK] Seq=1 Ack=210 Win=29696 Len=0 TSval=561736928 TSecr=3833626289"
"89","1.494827991","173.194.17.136","192.168.0.113","TLSv1.2","1486","Server Hello"
"91","1.495111149","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1421 Ack=210 Win=29696 Len=1420 TSval=561736930 TSecr=3833626289 [TCP segment of a reassembled PDU]"
"93","1.496734743","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=2841 Ack=210 Win=29696 Len=1420 TSval=561736930 TSecr=3833626289 [TCP segment of a reassembled PDU]"
"95","1.497629614","173.194.17.136","192.168.0.113","TLSv1.2","761","Certificate, Server Key Exchange, Server Hello Done"
"101","1.517006150","173.194.17.136","192.168.0.113","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"102","1.520406012","173.194.17.136","192.168.0.113","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"103","1.526189610","172.217.4.14","192.168.0.113","TCP","74","80  >  52682 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1380 SACK_PERM=1 TSval=2498498295 TSecr=1306027098 WS=256"
"105","1.526332439","172.217.4.14","192.168.0.113","TCP","74","80  >  52684 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1380 SACK_PERM=1 TSval=3214717391 TSecr=1306027099 WS=256"
"112","1.536035473","172.217.4.14","192.168.0.113","TCP","74","80  >  52686 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1380 SACK_PERM=1 TSval=2910728009 TSecr=1306027113 WS=256"
"115","1.543905516","173.194.17.136","192.168.0.113","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"117","1.556372972","172.217.4.14","192.168.0.113","TCP","66","80  >  52682 [ACK] Seq=1 Ack=430 Win=43520 Len=0 TSval=2498498325 TSecr=1306027139"
"118","1.558087858","172.217.4.14","192.168.0.113","OCSP","772","Response"
"122","1.565842629","172.217.164.78","192.168.0.113","TCP","74","80  >  34244 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1380 SACK_PERM=1 TSval=3644644237 TSecr=2202523897 WS=256"
"124","1.565983613","172.217.164.78","192.168.0.113","TCP","74","80  >  34246 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1380 SACK_PERM=1 TSval=4215209844 TSecr=2202523897 WS=256"
"126","1.566243656","172.217.4.14","192.168.0.113","TCP","66","80  >  52684 [ACK] Seq=1 Ack=430 Win=43520 Len=0 TSval=3214717431 TSecr=1306027140"
"128","1.568172719","172.217.4.14","192.168.0.113","OCSP","772","Response"
"130","1.576107203","172.217.4.14","192.168.0.113","TCP","66","80  >  52686 [ACK] Seq=1 Ack=430 Win=43520 Len=0 TSval=2910728048 TSecr=1306027149"
"131","1.577841451","172.217.4.14","192.168.0.113","OCSP","772","Response"
"135","1.610260126","173.194.17.136","192.168.0.113","TLSv1.2","282","Application Data"
"137","1.610656867","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"139","1.611935753","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"141","1.612268015","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"143","1.612288258","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"145","1.612449527","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"147","1.612646859","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"149","1.612842983","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"151","1.613033452","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"153","1.613225645","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"154","1.613416653","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"156","1.614855868","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"157","1.615011599","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data, Application Data"
"159","1.616315293","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"160","1.616687033","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"161","1.617282566","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"162","1.617450059","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"163","1.617875234","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"164","1.618204993","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"165","1.619464177","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"166","1.619766270","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"167","1.620626430","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"168","1.620877484","172.217.0.78","192.168.0.113","TLSv1.2","1012","Application Data, Application Data"
"170","1.633512591","172.217.0.78","192.168.0.113","TLSv1.2","104","Application Data"
"172","1.635401535","172.217.0.78","192.168.0.113","TLSv1.2","112","Application Data"
"174","1.635683473","173.194.17.136","192.168.0.113","TLSv1.2","282","Application Data"
"181","1.661450638","172.217.0.78","192.168.0.113","TCP","66","443  >  50646 [ACK] Seq=56580 Ack=358 Win=608 Len=0 TSval=2619602906 TSecr=2942977319"
"182","1.671531333","172.217.0.78","192.168.0.113","TCP","66","443  >  50646 [ACK] Seq=56580 Ack=1137 Win=619 Len=0 TSval=2619602916 TSecr=2942977329"
"183","1.671753393","172.217.0.78","192.168.0.113","TCP","66","443  >  50646 [ACK] Seq=56580 Ack=1175 Win=619 Len=0 TSval=2619602916 TSecr=2942977329"
"184","1.673101097","172.217.0.78","192.168.0.113","TLSv1.2","231","Application Data"
"185","1.673245681","172.217.0.78","192.168.0.113","TLSv1.2","104","Application Data"
"186","1.673513946","172.217.0.78","192.168.0.113","TLSv1.2","112","Application Data"
"189","1.682135559","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data"
"191","1.682430551","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data"
"193","1.683025939","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6606 Ack=1431 Win=32512 Len=1420 TSval=561737120 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"195","1.683708940","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=6822 Ack=1666 Win=33536 Len=1420 TSval=561737120 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"197","1.687581492","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=8026 Ack=1431 Win=32512 Len=1420 TSval=561737120 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"199","1.687938116","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=8242 Ack=1666 Win=33536 Len=1420 TSval=561737120 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"201","1.688125549","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=9446 Ack=1431 Win=32512 Len=1420 TSval=561737120 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"203","1.688318273","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=9662 Ack=1666 Win=33536 Len=1420 TSval=561737120 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"205","1.688508451","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=10866 Ack=1431 Win=32512 Len=1420 TSval=561737120 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"207","1.688704086","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=11082 Ack=1666 Win=33536 Len=1420 TSval=561737120 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"209","1.688898198","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=12286 Ack=1431 Win=32512 Len=1420 TSval=561737120 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"211","1.689093128","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=12502 Ack=1666 Win=33536 Len=1420 TSval=561737120 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"213","1.689283369","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=13706 Ack=1431 Win=32512 Len=1420 TSval=561737121 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"215","1.689477125","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=13922 Ack=1666 Win=33536 Len=1420 TSval=561737121 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"217","1.689668399","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=15126 Ack=1431 Win=32512 Len=1420 TSval=561737121 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"219","1.689987192","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=15342 Ack=1666 Win=33536 Len=1420 TSval=561737121 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"221","1.690380501","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=16546 Ack=1431 Win=32512 Len=1420 TSval=561737122 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"223","1.690592348","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=16762 Ack=1666 Win=33536 Len=1420 TSval=561737122 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"225","1.690764303","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=17966 Ack=1431 Win=32512 Len=1420 TSval=561737122 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"227","1.690955472","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=18182 Ack=1666 Win=33536 Len=1420 TSval=561737122 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"229","1.692195784","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=19386 Ack=1431 Win=32512 Len=1420 TSval=561737123 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"231","1.692379210","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=19602 Ack=1666 Win=33536 Len=1420 TSval=561737123 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"233","1.692396775","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=20806 Ack=1431 Win=32512 Len=1420 TSval=561737123 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"235","1.692565854","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=21022 Ack=1666 Win=33536 Len=1420 TSval=561737123 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"237","1.692765795","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"239","1.692959396","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"241","1.693152690","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=23646 Ack=1431 Win=32512 Len=1420 TSval=561737124 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"243","1.693491392","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=23862 Ack=1666 Win=33536 Len=1420 TSval=561737124 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"245","1.693874852","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=25066 Ack=1431 Win=32512 Len=1420 TSval=561737125 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"247","1.694049532","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=25282 Ack=1666 Win=33536 Len=1420 TSval=561737125 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"249","1.694236158","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=26486 Ack=1431 Win=32512 Len=1420 TSval=561737125 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"251","1.694430789","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=26702 Ack=1666 Win=33536 Len=1420 TSval=561737125 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"253","1.694783557","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=27906 Ack=1431 Win=32512 Len=1420 TSval=561737126 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"255","1.695146984","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=28122 Ack=1666 Win=33536 Len=1420 TSval=561737126 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"257","1.695328027","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=29326 Ack=1431 Win=32512 Len=1420 TSval=561737126 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"259","1.696758343","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=29542 Ack=1666 Win=33536 Len=1420 TSval=561737126 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"261","1.697177979","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=30746 Ack=1431 Win=32512 Len=1420 TSval=561737127 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"263","1.697362815","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=30962 Ack=1666 Win=33536 Len=1420 TSval=561737128 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"265","1.698064941","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=32166 Ack=1431 Win=32512 Len=1420 TSval=561737127 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"267","1.698244019","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=32382 Ack=1666 Win=33536 Len=1420 TSval=561737128 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"269","1.698437510","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [PSH, ACK] Seq=33586 Ack=1431 Win=32512 Len=1420 TSval=561737130 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"271","1.703924083","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=33802 Ack=1666 Win=33536 Len=1420 TSval=561737129 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"273","1.704226825","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=35006 Ack=1431 Win=32512 Len=1420 TSval=561737130 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"275","1.704801646","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [PSH, ACK] Seq=35222 Ack=1666 Win=33536 Len=1420 TSval=561737129 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"277","1.704990181","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=36426 Ack=1431 Win=32512 Len=1420 TSval=561737130 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"279","1.705612450","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=36642 Ack=1666 Win=33536 Len=1420 TSval=561737130 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"281","1.705792982","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"283","1.705989584","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"285","1.706181145","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=39266 Ack=1431 Win=32512 Len=1420 TSval=561737130 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"287","1.706584243","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=39482 Ack=1666 Win=33536 Len=1420 TSval=561737131 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"289","1.706753192","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=40686 Ack=1431 Win=32512 Len=1420 TSval=561737131 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"291","1.706937072","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=40902 Ack=1666 Win=33536 Len=1420 TSval=561737131 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"293","1.709249552","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=42106 Ack=1431 Win=32512 Len=1420 TSval=561737131 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"295","1.709357917","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=42322 Ack=1666 Win=33536 Len=1420 TSval=561737132 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"297","1.709424933","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=43526 Ack=1431 Win=32512 Len=1420 TSval=561737132 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"299","1.709441892","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=43742 Ack=1666 Win=33536 Len=1420 TSval=561737132 TSecr=3833626478 [TCP segment of a reassembled PDU]"
"301","1.709502108","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=44946 Ack=1431 Win=32512 Len=1420 TSval=561737132 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"303","1.709558101","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=46366 Ack=1431 Win=32512 Len=1420 TSval=561737134 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"305","1.709625969","173.194.17.136","192.168.0.113","TCP","1114","443  >  40258 [ACK] Seq=47786 Ack=1431 Win=32512 Len=1048 TSval=561737134 TSecr=3833626473 [TCP segment of a reassembled PDU]"
"307","1.709682894","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=48834 Ack=1431 Win=32512 Len=1420 TSval=561737144 TSecr=3833626501 [TCP segment of a reassembled PDU]"
"309","1.709739322","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=45162 Ack=1666 Win=33536 Len=1420 TSval=561737144 TSecr=3833626502 [TCP segment of a reassembled PDU]"
"311","1.710011451","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=46582 Ack=1666 Win=33536 Len=1420 TSval=561737144 TSecr=3833626502 [TCP segment of a reassembled PDU]"
"313","1.710030592","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=50254 Ack=1431 Win=32512 Len=1420 TSval=561737144 TSecr=3833626501 [TCP segment of a reassembled PDU]"
"315","1.716532466","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=51674 Ack=1431 Win=32512 Len=1420 TSval=561737154 TSecr=3833626502 [TCP segment of a reassembled PDU]"
"317","1.717817887","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=53094 Ack=1431 Win=32512 Len=1420 TSval=561737154 TSecr=3833626502 [TCP segment of a reassembled PDU]"
"319","1.726191997","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=48002 Ack=1666 Win=33536 Len=1420 TSval=561737164 TSecr=3833626509 [TCP segment of a reassembled PDU]"
"321","1.726581970","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"323","1.726851424","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=49422 Ack=1666 Win=33536 Len=1420 TSval=561737164 TSecr=3833626509 [TCP segment of a reassembled PDU]"
"325","1.727392486","173.194.17.136","192.168.0.113","TCP","438","443  >  40258 [PSH, ACK] Seq=55934 Ack=1431 Win=32512 Len=372 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"327","1.727830108","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=56306 Ack=1431 Win=32512 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"329","1.728476065","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=50842 Ack=1666 Win=33536 Len=1420 TSval=561737164 TSecr=3833626509 [TCP segment of a reassembled PDU]"
"331","1.728654263","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=57726 Ack=1431 Win=32512 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"333","1.729036857","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=52262 Ack=1666 Win=33536 Len=1420 TSval=561737164 TSecr=3833626509 [TCP segment of a reassembled PDU]"
"335","1.729736856","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=59146 Ack=1431 Win=32512 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"337","1.730036469","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=53682 Ack=1666 Win=33536 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"339","1.730631975","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=60566 Ack=1431 Win=32512 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"341","1.730811931","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"343","1.731785059","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=61986 Ack=1431 Win=32512 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"345","1.732185781","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=56522 Ack=1666 Win=33536 Len=1420 TSval=561737165 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"347","1.732842360","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=63406 Ack=1431 Win=32512 Len=1420 TSval=561737164 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"349","1.733016830","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [PSH, ACK] Seq=57942 Ack=1666 Win=33536 Len=1420 TSval=561737165 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"351","1.733616823","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=64826 Ack=1431 Win=32512 Len=1420 TSval=561737165 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"353","1.734085347","173.194.17.136","192.168.0.113","TCP","1486","443  >  40256 [ACK] Seq=59362 Ack=1666 Win=33536 Len=1420 TSval=561737166 TSecr=3833626524 [TCP segment of a reassembled PDU]"
"355","1.734249940","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=66246 Ack=1431 Win=32512 Len=1420 TSval=561737165 TSecr=3833626524 [TCP segment of a reassembled PDU]"
